2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.172392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.219646,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.367211,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.526145,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.0d491fd4-d42c-4d74-9d49-6745cf273338.domains] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.648614,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.808672,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:28-03:00 srv1 samba[880]: [2026/01/19 18:08:28.996252,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:28-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.176827,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.362621,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.516410,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.660329,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.811016,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:29-03:00 srv1 samba[880]: [2026/01/19 18:08:29.962890,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:29-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.108964,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.260443,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.409393,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.561110,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.728357,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:30-03:00 srv1 samba[880]: [2026/01/19 18:08:30.865743,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:30-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.023392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.175041,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.372226,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.524843,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.708654,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:31-03:00 srv1 samba[880]: [2026/01/19 18:08:31.847821,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:31-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.009423,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.256176,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.464633,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.618948,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.738739,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:32-03:00 srv1 samba[880]: [2026/01/19 18:08:32.891220,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:32-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.046492,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.195008,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.324537,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.468392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.591572,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.746909,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:33-03:00 srv1 samba[880]: [2026/01/19 18:08:33.892894,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-19T18:08:33-03:00 srv1 samba[880]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-19T18:08:34-03:00 srv1 samba[880]: [2026/01/19 18:08:34.188968,  0] source4/dsdb/dns/dns_update.c:85(dnsupdate_nameupdate_done)
2026-01-19T18:08:34-03:00 srv1 samba[880]:   dnsupdate_nameupdate_done: Failed DNS update with exit code 44
2026-01-22T19:18:33-03:00 srv1 samba[810]: [2026/01/22 19:18:33.362050,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:33-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:33-03:00 srv1 samba[810]: [2026/01/22 19:18:33.556616,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:33-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:33-03:00 srv1 samba[810]: [2026/01/22 19:18:33.772100,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:33-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:33-03:00 srv1 samba[810]: [2026/01/22 19:18:33.913686,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:33-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.068229,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.231813,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.376918,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.521180,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.674523,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.804626,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.0d491fd4-d42c-4d74-9d49-6745cf273338.domains] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:34-03:00 srv1 samba[810]: [2026/01/22 19:18:34.938541,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:34-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:35-03:00 srv1 samba[810]: [2026/01/22 19:18:35.079203,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:35-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:35-03:00 srv1 samba[810]: [2026/01/22 19:18:35.294163,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:35-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-22T19:18:35-03:00 srv1 samba[810]: [2026/01/22 19:18:35.507782,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-22T19:18:35-03:00 srv1 samba[810]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
